	Algal (Endosymbiont) Species	Algal (Endosymbiont) Strain	Host Species	Host Strain	Taxonomic Designation of the Host	Origin	Database	rbcL	18srRNA	28S rRNA	3_rpl36-5_infA	ITS1-5.8S-ITS2	Ref
66	Stigeoclonium_variabile_P_bursaria	CCAP 477/13	Paramecium bursaria	nd	nd	nd	GenBank	nd	nd	HF920679.1	nd	nd	"Caisova et al., 2013"
67	Parachlorella_kessleri_P_bursaria	SAG: 211-11g	Paramecium bursaria	nd	nd	nd	GenBank	nd	nd	nd	X65099.1	nd	"Ustinova et al., 2001"
68	Actinastrum_hantzschii_P_bursaria	SAG 2015	Paramecium bursaria	nd	nd	nd	GenBank	nd	nd	nd	nd	FM205841.1	"Kaplan-Levy et al., 2016"
69	Chl_variabilis_P_bursaria	JPN symbiont	Paramecium bursaria	JPN	R3	"Yamaguchi, Japan"	GenBank	nd	nd	nd	nd	MT460236	"Flemming et al., 2020"
70	Chl_variabilis_P_bursaria	Tue2015 symbiont	Paramecium bursaria	Tue2015	R3	"Tübingen, Germany"	GenBank	nd	nd	nd	nd	MT460235	"Flemming et al., 2020"
71	M_conductrix_P_bursaria	Frieds symbiont	Paramecium bursaria	Frieds	R2	"Saxony-Anhalt, Germany"	GenBank	nd	nd	nd	nd	MT460238	"Flemming et al., 2020"
72	M_conductrix_P_bursaria	Old-Pf symbiont	Paramecium bursaria	Old-Pf	R1	"Oldenburg, Germany"	GenBank	nd	nd	nd	nd	MT460234	"Flemming et al., 2020"
73	M_conductrix_P_bursaria	Scot symbiont	Paramecium bursaria	Scot	R1	"Loch Katrine, Scotland"	GenBank	nd	nd	nd	nd	MT460237	"Flemming et al., 2020"
74	Chlorella_sp_hydra	M10_symbiont	Hydra viridissima	M10	nd	"Danube, Germany"	DDBJ	AB713410	AB713420	nd	nd	nd	"Kawaida et al., 2013"
75	Chlorella_sp_hydra	M9_symbiont	Hydra viridissima	M9	nd	Israel	DDBJ	AB713409	AB713419	nd	nd	nd	"Kawaida et al., 2013"
76	Chlorella_sp_hydra	J8_symbiont	Hydra viridissima	J8	nd	Unknown	DDBJ	AB713408	AB713416	nd	nd	nd	"Kawaida et al., 2013"
77	Chlorella_sp_hydra	K10_symbiont	Hydra viridissima	K10	nd	Switzerland	DDBJ	AB713411	AB713415	nd	nd	nd	"Kawaida et al., 2013"
78	Chlorella_sp_hydra	L9_symbiont	Hydra viridissima	L9	nd	"California, USA"	DDBJ	AB713412	AB713417	nd	nd	nd	"Kawaida et al., 2013"
79	Chlorella_sp_hydra	M8_symbiont	Hydra viridissima	M8	nd	"Pennsylvania, USA"	DDBJ	AB713413	AB713418	nd	nd	nd	"Kawaida et al., 2013"
80	Meyerella_planktonica	Itas_2/24 S-12w	Free-living	nd	nd	"Lake Itasca, Minnesota, USA"		nd	nd	nd	nd	AY543044	"Heeg and Wolf, 2015"
81	Chl_vulgaris	CCAP_211/81	Free-living	nd	nd	"Sachsen, Germany"		nd	nd	nd	nd	FM205854	"Heeg and Wolf, 2015"
82	Chloroidium_saccharophilum	SAG_211-9a	Free-living	nd	nd	Germany		nd	nd	nd	nd	FM946000	"Heeg and Wolf, 2015"
83	Actinastrum_hantzchii	CCAP_200/3	Free-living	nd	nd	"Sachsen, Germany"		nd	nd	nd	nd	FM205884	"Heeg and Wolf, 2015"
84	Hindakia_tetrachotoma	CCAP_222/54	Free-living	nd	nd	"Brandenburg, Germany"		nd	nd	nd	nd	GQ487238	"Heeg and Wolf, 2015"
85	Hegewaldia_parvula	CCAP 283/1	Free-living	nd	nd	"California, USA"		nd	nd	nd	nd	FM205842	"Heeg and Wolf, 2015"
86	Chl_rotunda	KR_2007/5	Free-living	nd	nd	"Okawango, Angola"		nd	nd	nd	nd	HQ111433	"Heeg and Wolf, 2015"
